id,Russian,English,orthography,transcription,prs,form2,form3,pos,additional_forms,kk,jena200,gld110,def_RU,context
207,ГОРНЫЙ КОЗЁЛ,CAPRA CAUCASICA,тӀукя,tʼukʲa,,тӀукул,тӀукяди,n,,145,0,0,Дикий козёл (Capra caucasica). Также известен как тур.,"1. Охотник убил горного козла. 2. Тур — это козёл, который живёт в горах."
208,КОСУЛЯ,ROE,магӀнац,maʕnac,,магӀнацул,магӀнациби,n,,146,0,0,Род оленей (Capreolus). Основной признак и отличие от оленей — небольшой размер и маленькие рога.,1. Косуля меньше оленя. 2. У косуль маленькие рога.
209,ВЕРБЛЮД,CAMEL,варани,warani,,варанил,варанди,n,,0,0,0,"Животное рода Camelus. На Кавказе не эндемичен, но известен с давних времён; термин для верблюда реконструируется для правосточнокавказского.",1. Верблюды водятся в жарких местах. 2. Верблюд может долго жить без воды.
210,ВОШЬ,LOUSE,нацӀцӀи,nacʼːi,,нацӀцӀил,нацӀцӀе,n,,187,98,50,"Головная вошь как обычный паразит человека. Отличать от платяной вши, лобковой вши, травяной вши и т. п., а также от гниды. (GLD)",1. У него по макушке ползет большая вошь. (GLD) 2. У него нет вшей. (GLD)
211,ГНИДА,NIT,тӀана,tʼana,,тӀанал,тӀанади,n,,188,0,0,"Личинка вши, которая иногда встречается в волосах людей. (Concepticon)",1. Гниды бывают под волосами. 2. Гнида — личинка вши.
212,БЛОХА,FLEA,чӀантӀи,čʼantʼi,,чӀантӀил,чӀантӀе,n,,186,0,0,"Кровососущий паразит, встречающийся на теле млекопитающих, прежде всего собак.",1. Шуба полна блох. 2. На этой собаке много блох.
213,ПИЯВКА,LEECH,гуриж,guriž,,гурижул,гурижиби,n,,175,0,0,"Кольчатые кровососущие черви, обитающие в водоёмах. Используются в традиционной медицине.",1. Пиявки живут в воде. 2. Пиявка сосёт кровь. 3. Раньше болезни лечили пиявками.
214,МУРАВЕЙ,ANT,хӀарцӀцӀа,ħarcʼːa,,хӀарцӀцӀал,хӀарцӀцӀади,n,,181,208,0,"Любое насекомое из семейства муравьёв (Formicidae). Маленькие крупноголовые насекомые, живущие в организованных колониях (муравейниках). (Concepticon)",1. Муравьи сильно кусаются. 2. Муравьи строят муравейники.
215,СЛЕПЕНЬ,GADFLY,нукӀкӀя,nukʼːja,,"нукӀкӀул, нукӀкӀял",нукӀкӀяди,n,,177,0,0,Насекомое семейства слепней (Tabanidae). Следует указывать нейтральный термин для крупного кровососущего насекомого (крупнее комара).,1. Слепень больно кусается. 2. Слепень больше комара.
216,МОЛЬ,MOTH,реса,resa,,ресал,ресабади,n,,180,0,0,"Группа бабочек (Lepidoptera) небольшого размера. Домашние вредители, которые портят шерстяные изделия и зерно.",1. Моль съела шапку. 2. В мешке с зерном завелась моль.
217,КЛЕЩ,MITE,гьельи,helʔi,,гьельил,гьельибади,n,,185,0,0,"Насекомые подкласса клещей (Acari) членистоногих. Паразитируют на млекопитающих, в том числе на человеке, и сосут их кровь.",1. На груди скотины бывает много клещей. 2. Клещи живут в высокой траве.
218,КЛОП,BEDBUG,чӀантӀи,čʼantʼi,,чӀантӀил,чӀантӀе,n,,189,0,0,"Постельный клоп (Cimex lectularius). Насекомые, живущие в постелях и питающиеся кровь людей, чаще всего ночью.","1. Эта постель полна клопов. 2. Если в доме не убираться, в нём заведутся клопы."
219,ПАУК,SPIDER,ссиндаркьу,sːindarʟʼu,,ссиндаркьул,ссиндаркьуди,n,,182,0,0,"Восьминогое насекомое отряда пауков, плетущее паутину.",1. В углу комнаты паук сплёл паутину. 2. Пауки едят мух.
